pair_id,case_id,pair_type,dataset_key,split,image_view,label_schema,image_path,source_severity,target_severity,source_predicted_severity,source_expected_severity,target_predicted_severity,target_expected_severity,target_predicted_confidence,target_mean_absolute_delta,target_masked_mean_absolute_delta,target_unmasked_mean_absolute_delta,case_expected_severity_monotonic_fraction,case_predicted_severity_monotonic_fraction,case_expected_severity_span,case_mask_area_fraction,case_max_unmasked_mean_absolute_delta,ellipse_mask,ellipse_mask_source,proxy_parameters,auto_pass
000_unidatapro_women_hair_loss_3_top__target_1,000_unidatapro_women_hair_loss_3_top,severity_shift,unidatapro_women_hair_loss,train,top,ludwig_stage,/home/tmushuru/datasets/alopecia_public/raw/unidatapro_women_hair_loss/3/top.png,3,1,3,4.772451400756836,4,4.551642417907715,0.5971059799194336,0.02206176146864891,0.03837911653335951,0.004641564081486795,0.8333333333333334,0.8333333333333334,1.0405511856079102,0.5163443684577942,0.005882379144306094,"[0.5, 0.52, 0.36, 0.45]",default,"{""ellipse_mask"": [0.5, 0.52, 0.36, 0.45], ""hair_enhancement_strength"": 1.2, ""hair_suppression_strength"": 1.5, ""mask_blur_radius"": 10.0, ""mask_preset_json"": ""experiments/configs/exp02_mask_presets.json"", ""smoothing_strength"": 0.35, ""texture_blur_radius"": 3.0, ""tone_shift_strength"": 0.03}",True
000_unidatapro_women_hair_loss_3_top__target_2,000_unidatapro_women_hair_loss_3_top,severity_shift,unidatapro_women_hair_loss,train,top,ludwig_stage,/home/tmushuru/datasets/alopecia_public/raw/unidatapro_women_hair_loss/3/top.png,3,2,3,4.772451400756836,7,4.795831203460693,0.3774092495441437,0.011371340602636337,0.01977368885762692,0.0024011051501680596,0.8333333333333334,0.8333333333333334,1.0405511856079102,0.5163443684577942,0.005882379144306094,"[0.5, 0.52, 0.36, 0.45]",default,"{""ellipse_mask"": [0.5, 0.52, 0.36, 0.45], ""hair_enhancement_strength"": 1.2, ""hair_suppression_strength"": 1.5, ""mask_blur_radius"": 10.0, ""mask_preset_json"": ""experiments/configs/exp02_mask_presets.json"", ""smoothing_strength"": 0.35, ""texture_blur_radius"": 3.0, ""tone_shift_strength"": 0.03}",True
000_unidatapro_women_hair_loss_3_top__target_4,000_unidatapro_women_hair_loss_3_top,severity_shift,unidatapro_women_hair_loss,train,top,ludwig_stage,/home/tmushuru/datasets/alopecia_public/raw/unidatapro_women_hair_loss/3/top.png,3,4,3,4.772451400756836,3,4.790131092071533,0.4909951090812683,0.008457347750663757,0.014760518446202926,0.0017281636652104306,0.8333333333333334,0.8333333333333334,1.0405511856079102,0.5163443684577942,0.005882379144306094,"[0.5, 0.52, 0.36, 0.45]",default,"{""ellipse_mask"": [0.5, 0.52, 0.36, 0.45], ""hair_enhancement_strength"": 1.2, ""hair_suppression_strength"": 1.5, ""mask_blur_radius"": 10.0, ""mask_preset_json"": ""experiments/configs/exp02_mask_presets.json"", ""smoothing_strength"": 0.35, ""texture_blur_radius"": 3.0, ""tone_shift_strength"": 0.03}",True
000_unidatapro_women_hair_loss_3_top__target_5,000_unidatapro_women_hair_loss_3_top,severity_shift,unidatapro_women_hair_loss,train,top,ludwig_stage,/home/tmushuru/datasets/alopecia_public/raw/unidatapro_women_hair_loss/3/top.png,3,5,3,4.772451400756836,7,4.9838032722473145,0.47338995337486267,0.016087844967842102,0.028080522691931727,0.0032846195583072467,0.8333333333333334,0.8333333333333334,1.0405511856079102,0.5163443684577942,0.005882379144306094,"[0.5, 0.52, 0.36, 0.45]",default,"{""ellipse_mask"": [0.5, 0.52, 0.36, 0.45], ""hair_enhancement_strength"": 1.2, ""hair_suppression_strength"": 1.5, ""mask_blur_radius"": 10.0, ""mask_preset_json"": ""experiments/configs/exp02_mask_presets.json"", ""smoothing_strength"": 0.35, ""texture_blur_radius"": 3.0, ""tone_shift_strength"": 0.03}",True
000_unidatapro_women_hair_loss_3_top__target_6,000_unidatapro_women_hair_loss_3_top,severity_shift,unidatapro_women_hair_loss,train,top,ludwig_stage,/home/tmushuru/datasets/alopecia_public/raw/unidatapro_women_hair_loss/3/top.png,3,6,3,4.772451400756836,7,5.339203357696533,0.5683298110961914,0.022891487926244736,0.039960005522446544,0.004669359976929397,0.8333333333333334,0.8333333333333334,1.0405511856079102,0.5163443684577942,0.005882379144306094,"[0.5, 0.52, 0.36, 0.45]",default,"{""ellipse_mask"": [0.5, 0.52, 0.36, 0.45], ""hair_enhancement_strength"": 1.2, ""hair_suppression_strength"": 1.5, ""mask_blur_radius"": 10.0, ""mask_preset_json"": ""experiments/configs/exp02_mask_presets.json"", ""smoothing_strength"": 0.35, ""texture_blur_radius"": 3.0, ""tone_shift_strength"": 0.03}",True
000_unidatapro_women_hair_loss_3_top__target_7,000_unidatapro_women_hair_loss_3_top,severity_shift,unidatapro_women_hair_loss,train,top,ludwig_stage,/home/tmushuru/datasets/alopecia_public/raw/unidatapro_women_hair_loss/3/top.png,3,7,3,4.772451400756836,7,5.592193603515625,0.6351557374000549,0.02886826917529106,0.050398959723007515,0.005882379144306094,0.8333333333333334,0.8333333333333334,1.0405511856079102,0.5163443684577942,0.005882379144306094,"[0.5, 0.52, 0.36, 0.45]",default,"{""ellipse_mask"": [0.5, 0.52, 0.36, 0.45], ""hair_enhancement_strength"": 1.2, ""hair_suppression_strength"": 1.5, ""mask_blur_radius"": 10.0, ""mask_preset_json"": ""experiments/configs/exp02_mask_presets.json"", ""smoothing_strength"": 0.35, ""texture_blur_radius"": 3.0, ""tone_shift_strength"": 0.03}",True
001_unidatapro_men_hair_loss_1_top__target_2,001_unidatapro_men_hair_loss_1_top,severity_shift,unidatapro_men_hair_loss,train,top,norwood_stage,/home/tmushuru/datasets/alopecia_public/raw/unidatapro_men_hair_loss/1/top.png,1,2,1,1.253220796585083,1,2.048737049102783,0.8176401853561401,0.004058326594531536,0.00664603799385839,0.0012957191772819245,1.0,1.0,5.685940980911255,0.5163443684577942,0.006529159239022473,"[0.5, 0.52, 0.36, 0.45]",default,"{""ellipse_mask"": [0.5, 0.52, 0.36, 0.45], ""hair_enhancement_strength"": 1.2, ""hair_suppression_strength"": 1.5, ""mask_blur_radius"": 10.0, ""mask_preset_json"": ""experiments/configs/exp02_mask_presets.json"", ""smoothing_strength"": 0.35, ""texture_blur_radius"": 3.0, ""tone_shift_strength"": 0.03}",True
001_unidatapro_men_hair_loss_1_top__target_3,001_unidatapro_men_hair_loss_1_top,severity_shift,unidatapro_men_hair_loss,train,top,norwood_stage,/home/tmushuru/datasets/alopecia_public/raw/unidatapro_men_hair_loss/1/top.png,1,3,1,1.253220796585083,7,4.669084548950195,0.5915969014167786,0.00793563574552536,0.01301969911610266,0.002507957277108299,1.0,1.0,5.685940980911255,0.5163443684577942,0.006529159239022473,"[0.5, 0.52, 0.36, 0.45]",default,"{""ellipse_mask"": [0.5, 0.52, 0.36, 0.45], ""hair_enhancement_strength"": 1.2, ""hair_suppression_strength"": 1.5, ""mask_blur_radius"": 10.0, ""mask_preset_json"": ""experiments/configs/exp02_mask_presets.json"", ""smoothing_strength"": 0.35, ""texture_blur_radius"": 3.0, ""tone_shift_strength"": 0.03}",True
001_unidatapro_men_hair_loss_1_top__target_4,001_unidatapro_men_hair_loss_1_top,severity_shift,unidatapro_men_hair_loss,train,top,norwood_stage,/home/tmushuru/datasets/alopecia_public/raw/unidatapro_men_hair_loss/1/top.png,1,4,1,1.253220796585083,7,6.548904895782471,0.8997886180877686,0.011632760986685753,0.019122203860226405,0.003637130628140512,1.0,1.0,5.685940980911255,0.5163443684577942,0.006529159239022473,"[0.5, 0.52, 0.36, 0.45]",default,"{""ellipse_mask"": [0.5, 0.52, 0.36, 0.45], ""hair_enhancement_strength"": 1.2, ""hair_suppression_strength"": 1.5, ""mask_blur_radius"": 10.0, ""mask_preset_json"": ""experiments/configs/exp02_mask_presets.json"", ""smoothing_strength"": 0.35, ""texture_blur_radius"": 3.0, ""tone_shift_strength"": 0.03}",True
001_unidatapro_men_hair_loss_1_top__target_5,001_unidatapro_men_hair_loss_1_top,severity_shift,unidatapro_men_hair_loss,train,top,norwood_stage,/home/tmushuru/datasets/alopecia_public/raw/unidatapro_men_hair_loss/1/top.png,1,5,1,1.253220796585083,7,6.873558044433594,0.9628049731254578,0.015150169841945171,0.024954140227528506,0.004683579177292865,1.0,1.0,5.685940980911255,0.5163443684577942,0.006529159239022473,"[0.5, 0.52, 0.36, 0.45]",default,"{""ellipse_mask"": [0.5, 0.52, 0.36, 0.45], ""hair_enhancement_strength"": 1.2, ""hair_suppression_strength"": 1.5, ""mask_blur_radius"": 10.0, ""mask_preset_json"": ""experiments/configs/exp02_mask_presets.json"", ""smoothing_strength"": 0.35, ""texture_blur_radius"": 3.0, ""tone_shift_strength"": 0.03}",True
